source_table,source_column,target_table,target_column,relationship_description
patients,patient_id,ems_cases,patient_id,一位病患可以有一或多件救護案件；Demo 中多數是一位病患一件案件。
ambulances,ambulance_id,ems_cases,ambulance_id,一台救護車可承接多件案件。
hospitals,hospital_id,ems_cases,receiving_hospital_id,案件最後送往的收治醫院。
hospitals,hospital_id,alerts,hospital_id,通報送往哪一家醫院。
hospitals,hospital_id,hospital_resource_snapshots,hospital_id,每家醫院有多筆資源快照。
hospitals,hospital_id,clinicians,hospital_id,每家醫院有多位醫護或專科人員。
clinicians,clinician_id,physician_shifts,clinician_id,人員對應其值班紀錄。
hospitals,hospital_id,physician_shifts,hospital_id,每家醫院的各專科值班表。
ems_cases,case_id,alerts,case_id,一件案件會觸發一筆或多筆通報；Demo 中為一件一筆。
ems_cases,case_id,routing_recommendations,case_id,每件案件有一筆推薦醫院排序結果。
ems_cases,case_id,prehospital_vitals,case_id,每件案件有多筆到院前生命徵象。
ems_cases,case_id,resource_orders,case_id,每件案件會產生多筆院內資源需求。
ems_cases,case_id,treatment_events,case_id,每件案件到院後有多個處置事件。
ems_cases,case_id,outcomes,case_id,每件案件對應一筆結果與 KPI。
hospitals,hospital_id,resource_orders,hospital_id,資源需求發生在哪家醫院。
