table_name,table_zh_name,row_count,primary_key,purpose,suggested_usage,important_columns
hospitals,醫院主檔,5,hospital_id,描述每家收治醫院的基本能力與總資源，例如是否可做 PCI、是否具中風中心、外傷中心等級與床位總量。,醫院推薦、收治能力判斷、資源總量參考。,hospital_id、hospital_name、hospital_level、region、lat、lon、pci_capable、stroke_center_level...
ambulances,救護車主檔,12,ambulance_id,描述救護車所屬分隊、基地位置、救護等級與車上設備能力。,案件來源、救護車端能力判斷、到院前資料來源。,ambulance_id、station_id、station_name、base_lat、base_lon、level、has_12lead_ecg、has_ventilator...
clinicians,院內人員主檔,84,clinician_id,描述醫院內各專科醫師、護理或處置團隊成員的基本資料。,值班表、專科團隊啟動、人力可用性模擬。,clinician_id、hospital_id、specialty、clinician_name、seniority_years、can_lead_code_team、active
physician_shifts,醫護值班表,19005,shift_id,描述每家醫院、每個專科在不同班別的值班人員與是否為 on-call。,找出通報當下應通知哪位醫師或哪個專科團隊。,shift_id、hospital_id、specialty、clinician_id、shift_label、shift_start、shift_end、on_call
hospital_resource_snapshots,醫院資源快照,5430,snapshot_id,模擬醫院每 4 小時回報一次急診床、ICU、CT、導管室、外傷灣、呼吸器等可用資源。,醫院推薦排序、是否能承接急重症、院內資源看板。,snapshot_id、hospital_id、snapshot_time、ed_beds_available、icu_beds_available、ct_available、cath_lab_available、trauma_bays_available...
patients,病患去識別化主檔,1366,patient_id,合成病患基本特徵與風險因子，不含真實個資。,案件特徵分析、風險分層、病症分布分析。,patient_id、synthetic、sex、age、age_group、has_hypertension、has_diabetes、has_cvd_history...
ems_cases,救護案件主檔,1366,case_id,整個系統的核心資料表，記錄救護案件、疑似病症、生命徵象、ETA、收治醫院與到院時間。,串接所有案件相關資料；Dashboard、通報、推薦、KPI 都以此表為中心。,case_id、patient_id、ambulance_id、suspected_condition、activation_type、esi_level、priority、scene_lat...
prehospital_vitals,到院前生命徵象序列,4098,vital_id,記錄病患在救護車流程中的多次生命徵象，例如接觸病患、離開現場、抵達醫院。,生命徵象趨勢圖、病況惡化提醒、救護車端監控。,vital_id、case_id、sequence_no、measured_at、phase、sbp、dbp、hr...
alerts,急救通報紀錄,1366,alert_id,記錄救護車或系統送出的通報、院內 ACK、通報關閉時間與通道。,計算 ACK 時間、是否到院前已確認、通報效率分析。,alert_id、case_id、hospital_id、activation_type、priority、status、channel、alert_created_time...
routing_recommendations,推薦醫院排序紀錄,1366,recommendation_id,記錄系統針對每件案件推薦的前三名醫院、分數、預估車程與推薦原因。,解釋為什麼推薦某醫院；比較推薦醫院與實際送醫醫院。,recommendation_id、case_id、condition、selected_hospital_id、recommended_hospital_1、score_1、travel_min_1、reason_1...
resource_orders,院內資源預約 / 指派紀錄,5913,order_id,記錄每件案件需要的床位、醫師、CT、導管室、ICU、呼吸器等資源，以及確認時間。,判斷到院前是否完成資源準備；建立院內任務清單。,order_id、case_id、hospital_id、resource_type、request_status、requested_time、confirmed_time、confirm_minutes...
treatment_events,到院後處置事件,8313,event_id,記錄病患到院後的重要處置事件，例如 CT 開始、導管室開始、抗生素給予、急救處置。,計算 door-to-CT、door-to-balloon、door-to-antibiotics 等流程時間。,event_id、case_id、event_type、event_time、minutes_from_arrival、actor_role、outcome
outcomes,結果與 KPI 表,1366,outcome_id,彙整每件案件的流程結果、是否達標、死亡或住院結果與住院天數。,品質指標、成效評估、模型與流程改善分析。,outcome_id、case_id、door_to_balloon_min、door_to_ct_min、door_to_needle_min、antibiotic_to_recognition_min、trauma_team_ready_min_from_arrival、protocol_target_met...
intervention_protocols,急重症啟動規則表,5,protocol_id,定義五類急重症的觸發條件、啟動流程、所需資源與 KPI。,規則引擎依據；前端說明與教學對照。,protocol_id、condition、trigger_rule、activation、key_resources、target_kpi、demo_rule
